term	meaning	reading
テストを受ける	시험을 보다	テストをうける
テニス	테니스	テニス
テレビ	텔레비전	テレビ
テーブル	테이블	テーブル
テープ	테이프	テープ
デパート	백화점	デパート
トイレ	화장실	トイレ
ドア	문	ドア
ドイツ	독일	ドイツ
ドラマ	드라마	ドラマ
ドル	달러	ドル
ニュース	뉴스	ニュース
ネクタイ	넥타이	ネクタイ
ノート	공책, 필기, 노트북	ノート
ハンカチ	손수건	ハンカチ
バイオリン	바이올린	バイオリン
バス	버스	バス
バスケットボール	농구	バスケットボール
バドミントン	배드민턴	バドミントン
パソコン	컴퓨터	パソコン
パン	빵	パン
パーティー	파티	パーティー
ビル	빌딩	ビル
ピアノ	피아노	ピアノ
ピクニック	피크닉	ピクニック
プレゼント	선물	プレゼント
プール	수영장	プール
ベッド	침대	ベッド
ベトナム	베트남	ベトナム
ペン	펜	ペン
ページ	페이지	ページ
ホテル	호텔	ホテル
ボールペン	볼펜	ボールペン
ポケット	주머니	ポケット
メニュー	메뉴	メニュー
メモ	메모	メモ
メートル	미터	メートル
メール	이메일	メール
ヨーロッパ	유럽	ヨーロッパ
ラジオ	라디오	ラジオ
ランチ	점심	ランチ
リボン	리본	リボン
レストラン	레스토랑	レストラン
ワンピース	원피스	ワンピース
～か月	개월	～かげつ
～間	~간	～かん
～月	~월	～がつ
～時	~시	～じ
～時間	~시간	～じかん
～年生	~학년	～ねんせい
～分	~분	～ふん
Eメール	이메일	Eメール
合う	맞다, 서로 ~하다	あう
青	파랑	あお
赤	빨강	あか
赤ちゃん	아기	あかちゃん
赤ん坊	갓난아기	あかんぼう
顎	턱	あご
浅い	얕다	あさい
足音	발소리	あしおと
味	맛	あじ
汗をかく	땀을 흘리다	あせをかく
遊び	놀이, 여유	あそび
暖かい	따뜻하다	あたたかい
暑さ	더위	あつさ
集まる	모이다	あつまる
集める	모으다	あつめる
飴	사탕, 엿	あめ
謝る	사과하다	あやまる
暗記	암기	あんき
安心	안심	あんしん
安全	안전	あんぜん
いかが	어떻다	いかが
以外	이외	いがい
医学	의학	いがく
生き方	삶의 방식	いきかた
いきなり	갑자기	いきなり
生きる	살다	いきる
意見	의견	いけん
石	돌	いし
急ぐ	서두르다	いそぐ
いたす	(겸양어로) 하다	いたす
いただく	(겸양어로) 받다, (겸양어로) 먹다	いただく
痛む	아프다	いたむ
一日中	하루 종일	いちにちじゅう
一緒	함께, 같다	いっしょ
一体	도대체, 한 몸	いったい
行ってまいります	다녀오겠습니다	いってまいります
いっぱい	가득, 많이	いっぱい
一方	한쪽, 한편	いっぽう
糸	실	いと
移動	이동	いどう
以内	이내	いない
田舎	시골, 고향	いなか
命	생명	いのち
要る	필요하다	いる
色紙	색종이	いろがみ
印刷	인쇄	いんさつ
飲酒	음주	いんしゅ
植える	심다	うえる
動き出す	움직이기 시작하다	うごきだす
動く	움직이다, 작동하다	うごく
嘘	거짓말	うそ
内	안, 중에서, 집	うち
打つ	치다, (못을) 박다, (주사를) 놓다	うつ
写す	베끼다, (사진을) 찍다	うつす
腕	팔, 솜씨	うで
うまい	맛있다, 능숙하다, (거래나 제안이) 좋다	うまい
売り場	매장	うりば
売れる	팔리다, 인기를 얻다	うれる
運	운	うん
運転	(차를) 운전하다, (기계를) 가동하다	うんてん
運転手	운전사	うんてんしゅ
運動会	운동회	うんどうかい
営業	영업	えいぎょう
英文学	영문학	えいぶんがく
駅員	역무원	えきいん
枝	가지	えだ
絵本	그림책	えほん
絵を描く	그림을 그리다	えをかく
遠慮	사양하다	えんりょ
おいでになる	계시다, 오시다, 가시다	おいでになる
お祝い	축하, 축하 선물	おいわい
横断歩道	횡단보도	おうだんほどう
終える	끝내다	おえる
大雨	폭우	おおあめ
大きさ	크기	おおきさ
大勢	많은 사람	おおぜい
大雪	폭설	おおゆき
おかげ	덕분	おかげ
おかげさまで	덕분에	おかげさまで
奥様	부인	おくさま
屋上	옥상	おくじょう
贈り物	선물	おくりもの
お子さん	자녀분	おこさん
起こす	일으키다, 깨우다, 글로 옮기다	おこす
行う	행하다	おこなう
怒る	화내다, 꾸짖다	おこる
押し入れ	벽장	おしいれ
お正月	새해, 1월	おしょうがつ
お知らせ	알림	おしらせ
お嬢さん	따님, 아가씨	おじょうさん
押す	누르다, (도장을) 찍다	おす
お世話になる	신세를 지다	おせわになる
教わる	배우다	おそわる
お宅	댁, 남편분, 귀사	おたく
お大事に	몸조리 잘하세요	おだいじに
おっしゃる	말씀하시다	おっしゃる
お釣り	거스름돈	おつり
お出かけ	외출	おでかけ
音	소리	おと
落とし物	분실물	おとしもの
お年寄り	노인	おとしより
落とす	떨어뜨리다, 제거하다	おとす
一昨日	그저께	おととい
一昨年	재작년	おととし
踊る	춤추다	おどる
驚く	놀라다	おどろく
同じ	같다	おなじ
お風呂に入る	목욕하다	おふろにはいる
お待たせしました	기다리게 해서 죄송합니다	おまたせしました
お祭り	축제	おまつり
お見合い	맞선	おみあい
お見舞い	병문안	おみまい
お土産	(여행이나 방문 때 가져가는) 선물	おみやげ
思い出す	생각나다	おもいだす
思い出	추억	おもいで
おや	어라	おや
親指	엄지손가락	おやゆび
お湯	따뜻한 물	おゆ
泳ぎ	수영	およぎ
お礼	감사 인사, 답례	おれい
お礼を言う	감사 인사를 하다	おれいをいう
折れる	부러지다, 접히다, 양보하다	おれる
終わり	끝	おわり
音楽会	음악회	おんがくかい
音楽室	음악실	おんがくしつ
温泉	온천	おんせん
会員	회원	かいいん
会館	회관	かいかん
開館	개관	かいかん
海岸	해안	かいがん
会議室	회의실	かいぎしつ
開始	시작	かいし
会長	회장	かいちょう
回転	회전	かいてん
会話	대화	かいわ
飼う	(동물을) 기르다	かう
帰ってくる	돌아오다	かえってくる
帰り	돌아감	かえり
係	담당	かかり
科学	과학	かがく
鏡	거울	かがみ
書き方	쓰는 법	かきかた
かき氷	빙수	かきごおり
確認	확인	かくにん
家具	가구	かぐ
傘をさす	우산을 쓰다	かさをさす
飾り	장식	かざり
飾る	꾸미다, 진열하다	かざる
かしこまりました	알겠습니다	かしこまりました
貸し出し	대출	かしだし
火事	화재	かじ
数	수	かず
風邪を引く	감기에 걸리다	かぜをひく
数える	세다	かぞえる
方	~하는 법(동사 ます형＋方), 분	かた
固い	단단하다	かたい
硬い	단단하다	かたい
